,Job Title,Job Salary,Key Skills,Role Category,Location,Functional Area,Industry,Role
2432, Medical Coding Jobs - BPT & BHMS Graduates, Not Disclosed by Recruiter ,"[' ICD - 10', ' Health Care Services', ' CPT', ' Healthcare', ' Medical Coding']",['Medical Professional'],"['Chennai', 'Salem', 'Trichy', 'Vellore']","['Medical ', ' Healthcare ', ' R&D ', ' Pharmaceuticals ', ' Biotechnology']","['Medical', ' Healthcare', ' Hospitals']",Medical Officer
2433, Graphic Designer," 1,00,000 - 2,50,000 PA. ","[' coraldraw', ' Corel Draw', ' photoshop', ' Graphic Designing', ' graphic designer']",['Creative'],['Pune'],"['Design ', ' Creative ', ' User Experience']","['Advertising', ' PR', ' MR', ' Event Management']",Graphic Designer
2434, Customer sales Executive In , Not Disclosed by Recruiter ,"[' Help Desk', ' Customer Service', ' data analysis', ' tech support', ' BPO', ' voice', ' customer relationship', ' cce', ' inbound', ' customer service', ' caller', ' technical support', ' voice process', ' access controls', ' outbound', ' uk', ' calling', ' non voice', ' us']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(NonTechnical)
2435, Opening For Part Time Home Based Internet Marketing," 3,50,000 - 7,50,000 PA. ","[' bpo', ' digital marketing', ' online marketing', ' fresher', ' online branding', ' web marketing', ' business development', ' kpo', ' seo', ' internet marketing', ' freelancer', ' part time']",['Advertising'],"['Bengaluru', 'Hyderabad', 'Pune', 'Coimbatore', 'Mangalore', 'Pondicherry']","['Marketing ', ' Advertising ', ' MR ', ' PR ', ' Media Planning']","['Advertising', ' PR', ' MR', ' Event Management']",Events/Promotion Executive
2436, Mega Walk-in Drive For Tech Support For Fresher/experience," 1,25,000 - 2,25,000 PA. ","[' fresher', ' Customer Service', ' btech', ' technical', ' Technical Support', ' technical support executive', ' undergraduate']",['Voice'],['Hyderabad'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(Technical)
2437, Web Designer, Not Disclosed by Recruiter ,"[' Copyright', ' Training', ' Com', ' Campus interviews', ' Target', ' Web technologies', ' MIN', ' Consulting', ' Personality development']",['Programming & Design'],"['Mumbai', 'Nagpur']","['IT Software - Application Programming ', ' Maintenance']","['NGO', ' Social Services', ' Regulators', ' Industry Associations']",Graphic/Web Designer
2438, Timely Salary & Increment (Inbound Tech Support), Not Disclosed by Recruiter ,"[' data analysis', ' Customer Service', ' Help Desk', ' Information', ' Telephony support', ' customer relationship', ' access controls', ' caller', ' tech support', ' technical support', ' BPO', ' inbound', ' outbound', ' calling', ' voice', ' non voice', ' customer service', ' cce', ' uk', ' us', ' voice process']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(Technical)
2439, Leads Verification Executive," 70,000 - 1,50,000 PA. ","[' telecalling', ' outbound calling', ' telecaller', ' customer care executive']",['Training'],['Noida'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['Internet', ' Ecommerce']",Voice & Accent Trainer
2440," BDM, Counselor Telecaller / Front desk Coordinator"," 1,00,000 - 2,00,000 PA. ","[' Team Management', ' Administration', ' marketing', ' Front Desk', ' Coordination', ' relationship management', ' Telecalling', ' team handling', ' Admissions', ' business development', ' Counselling']",['Teachers'],"['Chennai', 'Pune', 'Surat']","['Teaching ', ' Education ', ' Training ', ' Counselling']","['Education', ' Teaching', ' Training']",Counselor
2441," Technician, Technical Support", Not Disclosed by Recruiter ,"[' Customer Service', ' International Call Center', ' Technician', ' PC Hardware', ' Technical Support', ' Maintenance']",['Voice'],['Gurgaon'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(Technical)
2442, Tech Mahindra HiringÂ 12th pass Freshers with good Communication," 2,00,000 - 3,25,000 PA. ","[' domestic bpo', ' international bpo', ' inbound', ' calling', ' bpo', ' fresher', ' outbound', ' cce', ' customer service', ' customer care executive', ' Tele Caller', ' UK Shift', ' KPO', ' Bpo Non Voice', ' Computer Operator', ' Data Entry']",['Voice'],"['Delhi ncr', 'Delhi', 'Noida']","['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
2443, Documents Collection Verification Field Work," 1,75,000 - 2,75,000 PA. ","[' field executive', ' Field Work']",['Other'],['Delhi ncr'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Fresher
2444, Office Assistant, Not Disclosed by Recruiter ,"[' Word Processing', ' Office Assistance', ' File System', ' Front Office', ' front desk', ' front desk executive', ' receptionist']",['Other'],['Bengaluru'],"['Executive Assistant ', ' Front Office ', ' Data Entry']","['Construction', ' Engineering', ' Cement', ' Metals']",Fresher
2445, Cars24 | Customer Service - Globiva," 1,50,000 - 2,25,000 PA. ","[' bpo', ' customer service']",['Voice'],['Delhi ncr'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
2446, Operations executives, Not Disclosed by Recruiter ,"[' Logistics', ' Relationship management', ' Customer retention', ' Strategic alliances', ' Administration', ' HTML', ' Operations', ' E-commerce', ' Customer experience']",['Voice'],['Mumbai'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['Media', ' Entertainment', ' Internet']",Associate/Senior Associate -(NonTechnical)
2447, Top MNC Firm Hiring For Technical Support / IT Helpdesk / Tech Support," 1,75,000 - 5,50,000 PA. ","[' tech support', ' technical', ' technical support engineer', ' ites', ' system support', ' it service desk', ' system troubleshooting', ' technical helpdesk', ' system administration', ' tso', ' technical support', ' technical associate', ' fresher', ' technical executive', ' troubleshooting', ' it helpdesk']","['Admin', 'Maintenance', 'Security', 'Datawarehousing']",['Bengaluru'],"['IT Software - Application Programming ', ' Maintenance']","['IT-Software', ' Software Services']",Technical Support Engineer
2448, International BPO is hiring in Kolkata / Inbound Tech Support for UK V, Not Disclosed by Recruiter ,"[' Outbound', ' Antivirus', ' Technical support', ' process', ' Sales', ' Inbound calls', ' US shift', ' Medical', ' Comp', ' International BPO']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(Technical)
2449, Data Entry and Typing Jobs (online/offline) - Up to Rs.1500/- per day," 50,000 - 3,00,000 PA. ","[' fresher', ' bpo fresher', ' call center executive', ' Computer Operating', ' bpo executive', ' Data Entry', ' Part Time']",['Quality'],"['Pune', 'Bhopal', 'Bhubaneshwar']","['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Quality Assurance/Quality Control Executive
2450, Urgently Require MBA Marketing Freshers @ Andheri," 1,00,000 - 3,25,000 PA. ","[' Sales', ' Domestic Marketing', ' Business Generation', ' Marketing Executive', ' sales executive', ' business development executive', ' Marketing Management', ' Export Marketing', ' Sales Executive Activities', ' Marketing Associate', ' sales associate']",['Marketing Research'],['Mumbai (dn nagar) '],"['Marketing ', ' Advertising ', ' MR ', ' PR ', ' Media Planning']","['Printing', ' Packaging']",Marketing Research Executive/Manager
2451," Fresher For Sales Associate,fashion Consultant,mumbai", Not Disclosed by Recruiter ,"[' Brand Promoter', ' Retail', ' Retail Sales', ' Sales', ' Showroom Sales', ' Store', ' Fashion Consultant', ' Sales Associate']",['Retail Sales'],['Mumbai'],"['Sales ', ' Retail ', ' Business Development']","['Retail', ' Wholesale']",Sales Executive/Officer
2452,Sykes Hiring Dropout & UG | Onspot Offer | U.S Collection | 17-21 Jun,Openings: 55,"['sitel', 'infotronics', 'sutherland', 'genpact', 'b to b', 'fresher', 'cognizant', 'b2b sales', 'b2b', 'B2C', 'B 2 Collection', 'collections', 'b2b recovery', 'saint marry', 'icse', 'communication skills', 'cbse', 'san francis', 'ibm daksh', 'wipro', 'convergys', 'b2b collection', 'dell', 'amazon', 'ibm', 'allsec', 'telstra']",['Voice'],['Hyderabad'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']",['BPO / Call Centre / ITES'],Associate/Senior Associate -(NonTechnical)
2453, Talent Acquisition / Recruitment - (V), Not Disclosed by Recruiter ,"[' recruitment', ' bulk hiring', ' talent acquisition', ' hr']","['HR', ' Recruitment ', ' IR']",['Noida (sector-126 noida) '],"['HR ', ' Recruitment ', ' Administration ', ' IR']","['Real Estate', ' Property']",Recruitment Executive
2454, Opening For a UK Telecom Process.," 2,25,000 - 2,75,000 PA. ","[' BPO', ' customer service executive', ' Customer Service', ' fresher', ' voice process', ' international bpo', ' bpo fresher', ' Cce', ' inbound', ' Call Center', ' customer care executive']",['Voice'],['Gurgaon'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
2455, HR Recruiter / Staffing Analyst / (9am To 6pm) / Only Females," 1,50,000 - 2,50,000 PA. ",[' Recruitment Executive'],"['HR', ' Recruitment ', ' IR']",['Bengaluru'],"['HR ', ' Recruitment ', ' Administration ', ' IR']","['Recruitment', ' Staffing']",HR Executive
2456, Tech Support Executives for INBOUND voice Process, Not Disclosed by Recruiter ,"[' Outbound', ' Sales process', ' Technical support', ' Inbound voice process', ' US shift', ' Bonus', ' International BPO']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(Technical)
2457,Immediate Joining for Technical Support with Top Mnc for Mumbai Loc!!!, Not Disclosed by Recruiter,"['Networking', 'Network Design', 'Technical Support']",['Voice'],['Mumbai'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']",['BPO / Call Centre / ITES'],Associate/Senior Associate -(Technical)
2458, Content Writer, Not Disclosed by Recruiter ,"[' Blogs', ' Articles', ' Web Technologies', ' Newsletters', ' Editing', ' Digital Marketing', ' Web Analytics', ' Email Marketing', ' SEO', ' Content Writing']",['Content Development'],['Gurgaon'],"['Journalism ', ' Editing ', ' Content']","['IT-Software', ' Software Services']",Content Developer
2459, Mega Openings for Freshers &quot; Non-voice BPO Process&quot; Kukatpally HYD," 1,00,000 - 1,50,000 PA. ","[' customer service executive', ' customer relation', ' Customer Support', ' cse', ' Non Voice Process', ' customer support executive', ' Semi Voice', ' customer care', ' Night Shift', ' Bpo Non Voice', ' client relation']",['Other'],['Hyderabad'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Fresher
2460, Urgent Hiring For International Bpo (customer Services)," 1,00,000 - 4,00,000 PA. ","[' bpo', ' voice', ' cce', ' International Call Center', ' call center', ' sales', ' fresher', ' bpo fresher', ' telesales', ' Domestic BPO', ' non - voice', ' mba fresher', ' customer care executive', ' International BPO']",['Voice'],"['Delhi', 'Gurgaon', 'Noida']","['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
2461,Native Italian Specialist – RS. 50K+," INR 4,00,000 - 7,00,000 PA.","['Italian Language Specialist', 'Italian language', 'italian specialist', 'Native Italian', 'italian translator', 'Italian speaker', 'Italian', 'italian language expert', 'italian expert', 'italian language translator', 'italian native', 'Italiano']","['Back Office', 'Web', 'Transaction Processing']","['Delhi ncr', 'Delhi', 'Noida']","['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']",['BPO / Call Centre / ITES'],Associate/Senior Associate -(NonTechnical)
2462, Purchase Executive, Not Disclosed by Recruiter ,"[' purchase', ' store', ' purchase order', ' warehouse', ' inventory management', ' PO']","['Purchase', 'Material Management']",['Delhi ncr'],"['Supply Chain ', ' Logistics ', ' Purchase ', ' Materials']","['Industrial Products', ' Heavy Machinery']",Purchase Executive
2463, Bulk Hiring For Multiple Position In International BPO Call Shivani, incentives ,"[' domestic bpo', ' cce', ' bpo', ' domestic sales', ' b2b', ' Lead Generation']",['Voice'],"['Delhi ncr', 'Gurgaon', 'Noida']","['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
2464, Adeeba looking for iOS / Android Developer, Not Disclosed by Recruiter ,"[' Performance tuning', ' HR Manager', ' Android', ' Cocoa touch', ' UX', ' GIT', ' Web technologies', ' Tools', ' Animation', ' IOS']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(NonTechnical)
2465, Invigilator Supervisor, Not Disclosed by Recruiter ,"[' Supervisor', ' Biometrics', ' Training', ' Roaming', ' Management', ' Room', ' Monitoring']",['Medical Professional'],['Kolkata'],"['Medical ', ' Healthcare ', ' R&D ', ' Pharmaceuticals ', ' Biotechnology']","['Recruitment', ' Staffing']",Intern
2466, Customer Care Executive/voice Process/inbound/fresher Apply Now," 1,50,000 - 3,50,000 PA. ","[' bpo', ' Java', ' field officer', ' Voice Process', ' Field Executive', ' Inbound', ' Data Entry', ' sales executive', ' marketing executive', ' bpo fresher', ' sales manager', ' Customer Care', ' international call center', ' Fresher']",['Other'],"['Delhi ncr', 'Gurgaon']","['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Fresher
2467," Immediate Opening for Hindi Teacher - Vibgyor High, Hennur", Not Disclosed by Recruiter ,"[' bed', ' ma', ' grammar', ' communication skills', ' interpersonal skills']",['Teachers'],"['Bengaluru (12) ', '...more']","['Teaching ', ' Education ', ' Training ', ' Counselling']","['Education', ' Teaching', ' Training']",Teacher/ Private Tutor
2468," Trainee Software Engineer/developer_(c, Telecom) for 2019 Passedouts", Not Disclosed by Recruiter ,"[' Software Engineering', ' C Programming', ' Telecom', ' Trainee']",['Programming & Design'],['Mumbai'],['IT Software - Telecom Software'],"['IT-Software', ' Software Services']",Software Developer
2469, Hiring agents with a fixed pay contract..( Inbound Tech), Not Disclosed by Recruiter ,"[' Sales Associate', ' Technical support', ' Issue', ' Technical', ' Inbound calls', ' Bonus', ' US shift', ' pay', ' Software']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(NonTechnical)
2470, Timely Salary & Increment means Adeeba Group , Not Disclosed by Recruiter ,"[' process', ' Outbound process', ' Group', ' Bonus', ' Time', ' Open', ' B2B']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(NonTechnical)
2471, International BPO Tech Support Process required CCE with Fixed Salary , Not Disclosed by Recruiter ,"[' Outbound', ' Antivirus', ' Technical support', ' process', ' Customer Care Executive', ' Sales', ' Issue', ' Spot', ' US shift', ' International BPO']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(NonTechnical)
2472, Hiring For International Call Center," 1,00,000 - 5,00,000 PA. ","[' international bpo', ' technical', ' Inbound', ' voice process', ' collections', ' outbound', ' lead generation', ' telesales', ' international call center', ' Sales Lead Generation', ' travel', ' telemarketing', ' customer']",['Voice'],"['Delhi ncr', 'Delhi']","['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Telecalling/Telemarketing Executive
2473, Job Opening for &quot;IT Recruiter&quot," 1,00,000 - 1,50,000 PA. ","[' talent acquisition', ' IT Recruitment', ' technical recruitment', ' technical recruiter', ' recruitment', ' recruiter', ' it recruiter']","['HR', ' Recruitment ', ' IR']",['Pune'],"['HR ', ' Recruitment ', ' Administration ', ' IR']","['Recruitment', ' Staffing']",Recruitment Executive
2474, Business Development Executive/pune," 1,75,000 - 2,75,000 PA. ","[' Sales', ' Business Development', ' Selling', ' Credit Cards', ' Corporate Sales']",['Corporate Sales'],"['Bengaluru', 'Pune']","['Sales ', ' Retail ', ' Business Development']","['Banking', ' Financial Services', ' Broking']",Sales/Business Development Manager
2475, Urgent Requirement! Preschool Teacher - ICON Vasundhara," 80,000 - 1,50,000 PA. ","[' teacher', ' education', ' montessori']",['Teachers'],['Ghaziabad'],"['Teaching ', ' Education ', ' Training ', ' Counselling']","['Education', ' Teaching', ' Training']",Teacher/ Private Tutor
2476, Game Developer," 5,00,000 - 8,00,000 PA. ","[' C#', ' Unity3D', ' C++', ' Games', ' .Net', ' IOS', ' Game Development', ' Android']",['Programming & Design'],['Chandigarh'],['IT Software - Mobile'],"['IT-Software', ' Software Services']",Software Developer
2477, Customer Support Associate / Technical Suport Engineer / Sal upto 4.5," 2,25,000 - 4,50,000 PA. ","[' bpo', ' csr', ' customer relationship', ' technical support engineer', ' inbound', ' customer service', ' customer care', ' call center', ' customer support', ' tsr', ' outbound', ' technical service', ' customer support officer']",['Voice'],['Bengaluru'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
2478, GNM /Bsc Staff Nurse/ Senior Nurse for ITU, Not Disclosed by Recruiter ,"[' Patient Care', ' Nursing', ' Bsc', ' GNM', ' Emergency', ' Hospital']",['Medical Professional'],['Kolkata'],"['Medical ', ' Healthcare ', ' R&D ', ' Pharmaceuticals ', ' Biotechnology']","['Medical', ' Healthcare', ' Hospitals']",Staff Nurse
2479, BPO / International Voice Process / Upto 40K Salary Call#manali," 2,00,000 - 5,00,000 PA. ","[' BPO', ' Customer Service', ' AR Calling', ' Technical Support', ' Domestic BPO', ' Voice Process', ' Call Center', ' UK Shift', ' US', ' International BPO']",['Voice'],['Bengaluru'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
2480, Mohali/ Chandigarh - BBA / BBA Fresher / BCA / BCA Fresher/ BSc / BA," 1,75,000 - 3,25,000 PA. ","[' bba', ' bca', ' domestic bpo', ' international bpo', ' mca fresher', ' bsc', ' telecalling', ' international call center', ' bba fresher', ' mba fresher', ' telemarketing', ' ba']",['Voice'],"['Chandigarh', 'Mohali']","['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
2481,Genpact Mega Walk in For International Voice Process @ Meerut,Openings: 1,"['csr', 'international bpo', 'cce', 'inbound', 'customer service', 'outbound calling', 'us shifts', 'csa', 'fresher', 'uk shifs', 'international voice process', 'international call centre', 'solving queries', 'Collections', 'us collections', 'senior executive']",['Voice'],['Delhi ncr'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']",['BPO / Call Centre / ITES'],Associate/Senior Associate -(NonTechnical)
2482, Walk- in for Junior Accounts Payable Executive, Not Disclosed by Recruiter ,"[' accounting', ' accounts payable', ' expenses', ' reconciliation', ' payments', ' invoicing']",['Accounts'],['Pune'],"['Accounts ', ' Finance ', ' Tax ', ' Company Secretary ', ' Audit']","['Accounting', ' Finance']",Accounts Executive/Accountant
2483,Genpact Mega Walkin Drive for International Voice-us Collection,INR One side Cab facility+monthly,"['international voice', 'us collections', 'b2b collections', 'b2c collections', 'b2b sales', 'uk', 'us', 'australian shifts', 'international bpo', 'customer service', 'customer care', 'customer support', 'international call center', 'voice process', 'Escalations', 'cce', 'csr', 'cse', 'us shifts']",['Voice'],['Delhi ncr'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']",['BPO / Call Centre / ITES'],Associate/Senior Associate -(NonTechnical)
2484, Need International Tech Caller Inbound Process, Not Disclosed by Recruiter ,"[' Help Desk', ' Customer Service', ' data analysis', ' tech support', ' BPO', ' voice', ' customer relationship', ' cce', ' inbound', ' customer service', ' caller', ' technical support', ' voice process', ' access controls', ' outbound', ' uk', ' calling', ' non voice', ' us']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(NonTechnical)
2485, Electrician, Not Disclosed by Recruiter ,"[' Electrician', ' cctv', ' STORE', ' Electronics', ' BMS', ' ITI']","['Production', 'Manufacturing', 'Maintenance']","['Gurgaon', 'Dharuhera', 'Bhiwani']","['Production ', ' Manufacturing ', ' Maintenance']","['Recruitment', ' Staffing']",Workman/Foreman/Technician
2486, Business Development Executive for American Express (sales), Not Disclosed by Recruiter ,"[' Bde', ' marketing executive', ' Direct Sales', ' direct marketing', ' business development executive', ' Business Development', ' sales marketing', ' Mba Fresher', ' Corporate Sales', ' sales executive']",['Corporate Sales'],['Pune'],"['Sales ', ' Retail ', ' Business Development']","['Banking', ' Financial Services', ' Broking']",Sales Executive/Officer
2487, Voice Process-customer Care Executive-freshers-fluent English," 1,25,000 - 3,00,000 PA. ","[' tele calling', ' night shift', ' fresher', ' international bpo', ' international voice process', ' customer service', ' international call center', ' customer support', ' cbse']",['Voice'],['Pune'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Telecalling/Telemarketing Executive
2488, Medical Coder Jobs - Zoology / Microbiology / Biology 2019 Freshers," 2,50,000 - 2,75,000 PA. ","[' biotechnology', ' radiology', ' microbiology', ' nursing', ' biomedical', ' nutrition', ' bsc', ' biochemistry', ' pharmacy', ' life sciences', ' optometry', ' zoology']",['Medical Professional'],"['Chennai', 'Erode', 'Karur']","['Medical ', ' Healthcare ', ' R&D ', ' Pharmaceuticals ', ' Biotechnology']","['Medical', ' Healthcare', ' Hospitals']",Medical Officer
2489, Customer Care Executive -domestic Call Center," 1,75,000 - 3,50,000 PA. ","[' bpo', ' customer calling', ' domestic bpo', ' cce', ' inbound', ' back office', ' customer care', ' call center', ' kpo', ' fresher', ' voice process', ' technical process', ' international call center', ' telecalling', ' domestic calling', ' inbound calling']",['Voice'],"['Delhi ncr', 'Gurgaon', 'Noida']","['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Telecalling/Telemarketing Executive
2490, MALE B.SC IN General Fresher Candidates (industrial Sales), Not Disclosed by Recruiter ,"[' Industrial Sales', ' Bsc', ' Ise', ' Cbse']",['Other'],['Kolkata'],"['Sales ', ' Retail ', ' Business Development']",['Iron and Steel'],Trainee
2491, Inbound Voice Process Executive," 2,50,000 - 3,00,000 PA. ","[' Customer Service', ' Inbound Voice Process', ' Customer Handling', ' Sales', ' Communication Skills', ' BPO', ' International Call Center', ' International BPO', ' International Voice Process', ' Call Center Operations', ' Cce', ' cca', ' cse', ' csa', ' csr']",['Voice'],['Noida (sector-57 noida) '],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
2492, Outbound Sales In UK Shift..International bpo, Not Disclosed by Recruiter ,"[' Telecom', ' process', ' Outbound process', ' Target', ' Customer Care Executive', ' Typing', ' Outbound sales', ' Presentable', ' International BPO']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(NonTechnical)
2493, Openings for Biomedical & Biotechnology Graduates - Angel HR, Not Disclosed by Recruiter ,"[' ICD - 10', ' Health Care Services', ' CPT', ' Healthcare', ' Medical Coding']",['Medical Professional'],"['Chennai', 'Tirupati', 'Coimbatore', 'Salem', 'Tirunelveli', 'Trichy', 'Vellore', 'Tuticorin']","['Medical ', ' Healthcare ', ' R&D ', ' Pharmaceuticals ', ' Biotechnology']","['Medical', ' Healthcare', ' Hospitals']",Medical Officer
2494, Hiring For Expedia Process / International Voice ; 12th & Grad," 2,00,000 - 5,00,000 PA. ","[' BPO', ' telecaller', ' call centre', ' Customer Service', ' international bpo', ' International Call Center', ' inbound', ' US Shift', ' US Sales', ' Non Voice', ' UK Shift', ' outbound', ' Technical Support', ' telesales', ' Customer Care', ' Operations', ' International Voice Process', ' customer care executive']",['Voice'],['Bengaluru'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Telecalling/Telemarketing Executive
2495, Tech Support Agent in International BPO, Not Disclosed by Recruiter ,"[' data analysis', ' Customer Service', ' Help Desk', ' Information', ' Telephony support', ' customer relationship', ' access controls', ' caller', ' tech support', ' technical support', ' BPO', ' inbound', ' outbound', ' calling', ' voice', ' non voice', ' customer service', ' cce', ' uk', ' us', ' voice process']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(NonTechnical)
2496, Ola International Process- Globiva," 2,50,000 - 3,00,000 PA. ","[' customer service', ' bpo']",['Voice'],['Delhi ncr'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
2497, Walk In Drive For Freshers - Associate, Not Disclosed by Recruiter ,"[' non voice', ' communication skills']","['Back Office', 'Web', 'Transaction Processing']",['Bengaluru'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
2498, Freelance Content Writer, Not Disclosed by Recruiter ,"[' Web Content Writing', ' online writing', ' Content Writing', ' content writer', ' Freelance Writing']",['Other'],['Pune'],"['Journalism ', ' Editing ', ' Content']","['Media', ' Entertainment', ' Internet']",Trainee
2499, C.C.E For INTERNATIONAL BPO SECTOR, Not Disclosed by Recruiter ,"[' Voice process', ' English', ' Outbound', ' Cce', ' Time', ' Business Executive', ' Technical support', ' BASIC', ' International BPO']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(NonTechnical)
2500,Customer Support Officer," INR 50,000 - 3,00,000 PA.","['inbound calls', 'outbound calls', 'voice process', 'voice support', 'International BPO', 'international call centre', 'International Voice Process', 'Customer Support', 'US Shift', 'uk shift', 'australia shift', 'canada shift', 'america shift', 'united kingdom shift', 'International Voice']",['Voice'],"['Delhi ncr', 'Noida']","['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']",['BPO / Call Centre / ITES'],Associate/Senior Associate -(NonTechnical)
