,Job Title,Job Salary,Key Skills,Role Category,Location,Functional Area,Industry,Role
32, Management Trainee, Not Disclosed by Recruiter ,"[' Excel', ' Sales', ' Conflict resolution', ' Analytical', ' Management Trainee', ' Power point presentation', ' MS Office']",['Other'],['Pune'],"['Sales ', ' Retail ', ' Business Development']",['Insurance'],Trainee
33, Have Confidence to Convince Customer Then Join Adeeba (Inbound Voice), Not Disclosed by Recruiter ,"[' Outbound', ' Medical', ' Technical support', ' Technical Support Associate', ' Email', ' Technical', ' US shift', ' Antivirus', ' Troubleshooting', ' Comp']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(NonTechnical)
34, Hiring for Domestic/ International Processes.contact the HR Asap," 1,50,000 - 3,00,000 PA. ","[' fresher', ' icse', ' inbound process', ' outbound', ' international bpo', ' uk process', ' bcom', ' communication skills', ' back office', ' cbse', ' web chat', ' chat process', ' Aviation', ' Guest Relations', ' Public Speaking', ' PR']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
35, Vancancy for Inbound Tech Sales Executive, Not Disclosed by Recruiter ,"[' Outbound', ' Service', ' Technical support', ' process', ' Inbound calls', ' Domestic BPO', ' Bonus', ' Business Executive', ' Comp']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(Technical)
36, Walk- in | Hdfc Life | We are Hiring Freshers:5th till 20th Aug@ Delhi," 2,50,000 PA. ","[' Sales', ' Fresher', ' Marketing']",['Retail Sales'],"['Delhi ncr', 'Agra', 'Aligarh', 'Bareilly', 'Faridabad', 'Ghaziabad', 'Meerut', 'Moradabad', 'Muzaffarpur']","['Sales ', ' Retail ', ' Business Development']",['Insurance'],Sales/Business Development Manager
37, Great Opportunity To join top MNCs in Kolkata! Grab them While it last," 1,50,000 - 3,00,000 PA. ","[' PR', ' international bpo', ' chat process', ' Aviation', ' back office', ' web chat', ' Guest Relations', ' Public Speaking', ' bcom', ' fresher', ' inbound process', ' outbound', ' uk process', ' icse', ' communication skills', ' cbse']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
38, Urgent Openings For Pharma Freshers," 2,25,000 - 7,00,000 PA. ","[' pharmaceutical', ' medical', ' Pharma', ' medical billing', ' healthcare']",['Medical Professional'],['Pune'],"['Medical ', ' Healthcare ', ' R&D ', ' Pharmaceuticals ', ' Biotechnology']","['Pharma', ' Biotech', ' Clinical Research']",Medical Representative
39,Mechanical Maintenance – Btech / Diploma," INR 1,25,000 - 2,50,000 PA.","['mechanical operation', 'preventive maintenance', 'mechanical', 'engineeringbreak down maintenance', 'mechanical maintenance']","['Suguna Group was founded in the year 1984 with the inception of Suguna Foods in poultry sector by first generation entrepreneurs. Suguna is a USD 1.3 billion (INR 9,000 cr) group and leader in Indian protein food', 'animal farming industry. With an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. Group companies are Suguna Foods, Suguna Dairy, Globion, Aminovit Srilanka, Suguna Bangladesh and Kenya. Suguna Foods is the largest poultry enterprise in India and it ranks among the top 10 worldwide. The fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. Suguna markets live broiler chicken, value added eggs, ready-to-eat and ready-to-cook chicken products. With the intent to provide consumers with fresh, clean and hygienic packed chicken, Suguna has set up a chain of modern retail outlets in the name of Ã¢â‚¬ËœDaily FresshÃ¢â‚¬â„¢. Suguna Foods pioneered contract farming in poultry industry, and now has presence in 21 states in India. Suguna as a brand is known for its quality products which has been well accepted by the consumers. Suguna Group always believes in energising rural India and providing nutritional security to India and is proud to associate with the mission of improving livelihood of 38,000 farmers']",['Hyderabad'],['Other'],['FMCG / Foods / Beverage'],N/A
40," Accepting Application for Intership for Java, PHP, Web Design, Android", Not Disclosed by Recruiter ,"[' Javascript', ' PHP', ' HTML', ' Visualization', ' jQuery', ' web', ' Programming', ' Commerce', ' Web designing', ' Application', ' Android']",['Programming & Design'],['Pune'],"['IT Software - Application Programming ', ' Maintenance']","['IT-Software', ' Software Services']",Software Developer
41, Sales Executive, Not Disclosed by Recruiter ,"[' Sales Executive', ' Cold calling', ' market research', ' customer profiling', ' sales executive', ' marketing executive', ' distributors', ' Business Development', ' sales strategy']",['Retail Sales'],"['Coimbatore', 'Raipur', 'Visakhapatnam', 'Pune']","['Sales ', ' Retail ', ' Business Development']","['Industrial Products', ' Heavy Machinery']",Sales Executive/Officer
42, Recruitment Officer , Not Disclosed by Recruiter ,"[' Administration', ' HR', ' Recruitment', ' Recruitment Executive', ' IR']","['HR', ' Recruitment ', ' IR']",['Bengaluru'],"['HR ', ' Recruitment ', ' Administration ', ' IR']","['Recruitment', ' Staffing']",Recruitment Executive
43, Pharma/nutrition Sales Profile Opening with Hexagon Nutrition, Not Disclosed by Recruiter ,"[' clinical pharmacy', ' mr', ' sales officer', ' territory executive', ' business development', ' sales executive']",['Retail Sales'],"['Chennai', 'Bengaluru']","['Sales ', ' Retail ', ' Business Development']","['Pharma', ' Biotech', ' Clinical Research']",Sales Executive/Officer
44, Opening For Fresher," 1,25,000 - 2,25,000 PA. ","[' BPO', ' any graduate', ' Voice Process', ' Voice Support']",['Voice'],['Chennai'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
45, Technical Support Associate / Technical Sales Associate-Inbound Voice , Not Disclosed by Recruiter ,"[' Outbound', ' Antivirus', ' Comp', ' Technical support', ' Technical Support Associate', ' technical sales associate', ' Sales', ' Technical Associate', ' Voice support', ' Inbound calls']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(Technical)
46, US Tech Process, Not Disclosed by Recruiter ,"[' Technical support', ' Outbound', ' Comp', ' Technical', ' Domestic BPO', ' US shift', ' process', ' Inbound calls', ' Bonus']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(Technical)
47," Community Manager,"," 1,50,000 - 2,75,000 PA. ","[' Operations', ' Inventory Management', ' Vendor Management', ' Bhm', ' Hospitality', ' Front Office', ' Guest Relations', ' Hospitality Management', ' hotel management']","['Front Office', 'Customer Care']",['Bengaluru'],"['Hotels ', ' Restaurants']","['Travel ', ' Hotels ', ' Restaurants ', ' Airlines ', ' Railways']",Front Office/Guest Relations Executive/Manager
48, Sales Coordinator, Not Disclosed by Recruiter ,"[' Retail Sales', ' Sales Executive Activities', ' Revenue Generation', ' Inhouse Sales']",['Retail Sales'],['Ahmedabad'],"['Sales ', ' Retail ', ' Business Development']","['Retail', ' Wholesale']",Counter Sales
49, Ecommerce Executive," 2,00,000 - 3,00,000 PA. ","[' BPO', ' Customer Support', ' international bpo', ' Voice Process', ' International Voice', ' International Voice Process']",['Voice'],['Gurgaon'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
50, Associate, Not Disclosed by Recruiter ,[' Associate'],['Accounts'],['Bengaluru'],"['Accounts ', ' Finance ', ' Tax ', ' Company Secretary ', ' Audit']","['Accounting', ' Finance']",Accounts Executive/Accountant
51,Urgent Openings for O2C," INR Both Side Cab, Incentives","['O2C', 'OTC', 'Order Management', 'Credit Management', 'Communication Skills']",['Accounts'],['Gurgaon'],"['Accounts ', ' Finance ', ' Tax ', ' Company Secretary ', ' Audit']",['Accounting / Finance'],Accounts Executive/Accountant
52, Business Associate, Not Disclosed by Recruiter ,"[' international bpo', ' Chat Process', ' voice based process', ' tele caller', ' process developer', ' Sales', ' b.a', ' exl', ' communication skills', ' Ba', ' Blended Process', ' bba', ' wipro', ' tcs', ' bbm', ' customer support', ' bcom', ' cse', ' accenture', ' Fresher', ' wns']",['Voice'],['Gurgaon'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['KPO', ' Research', ' Analytics']",Associate/Senior Associate -(NonTechnical)
53, Customer Care Executive," 1,50,000 - 2,75,000 PA. ","[' Customer Care', ' Inbound Process', ' Night Shift', ' Customer Care Executive', ' Customer Care Officer', ' BPO', ' Domestic BPO', ' International BPO']",['Other'],['Delhi ncr'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Fresher
54," Medical Coding Job(fresher Ug/pg) Pharm,lifescience,be(biotech&biomed)"," 3,00,000 - 3,75,000 PA. ","[' biotechnology', ' microbiology', ' nursing', ' biomedical', ' medical coding', ' medical coder', ' pharmacy', ' life sciences']",['Medical Professional'],"['Chennai vellore', 'Salem erode', 'Madurai trichy']","['Medical ', ' Healthcare ', ' R&D ', ' Pharmaceuticals ', ' Biotechnology']","['Medical', ' Healthcare', ' Hospitals']",Intern
55, Social Media Executive, Not Disclosed by Recruiter ,"[' website', ' facebook', ' online', ' Twitter', ' seo', ' internet', ' search engine optimisation']","['Online', 'Digital Marketing']",['Hyderabad'],"['Marketing ', ' Advertising ', ' MR ', ' PR ', ' Media Planning']","['Media', ' Entertainment', ' Internet']",Social Media Marketing Manager
56," IT Recruiter, Technical Recruiter"," 1,25,000 - 3,50,000 PA. ","[' head hunting', ' talent acquisition', ' Recruitment Executive', ' it recruitment', ' screening', ' technical recruitment', ' hiring', ' recruitment consultant', ' recruitment', ' sourcing', ' excel powerpoint', ' staffing']","['HR', ' Recruitment ', ' IR']",['Noida'],"['HR ', ' Recruitment ', ' Administration ', ' IR']","['IT-Software', ' Software Services']",Recruitment Executive
57," Medical Scribe Chandigarh Mohali Noida No Fees, Salary-26k To 48k"," 3,25,000 - 8,00,000 PA. ","[' MBBS', ' B.sc', ' Biotech', ' Dermatology', ' Rheumatology', ' ENT', ' BDS', ' Medicine', ' Pathology', ' Immunology', ' Medical Transcription', ' Radiology', ' Genetics', ' BAMS', ' MDS']","['Drug Regulatory Affairs', 'Documentation']","['Chandigarh', 'Mohali', 'Panchkula']","['Medical ', ' Healthcare ', ' R&D ', ' Pharmaceuticals ', ' Biotechnology']","['Medical', ' Healthcare', ' Hospitals']",Documentation/Medical Writing
58, Back Office Executive|data Entry Operators|domestic BPO," 1,25,000 - 3,75,000 PA. ","[' back office processing', ' BPO', ' part time', ' data entry', ' computer operator', ' backend', ' non voice', ' chat process', ' account', ' marketing', ' inbound process']",['Other'],"['Mumbai', 'Pune']","['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Fresher
59, Hiring For Day Shift Non Voice Sal. Up To 24K," 1,50,000 - 4,00,000 PA. ","[' international bpo', ' IT Helpdesk', ' freshers', ' customer care', ' international voice', ' call center', ' customer support', ' technical helpdesk', ' service desk', ' bpo fresher', ' uk', ' us', ' communication skills']",['Voice'],['Gurgaon'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
60, Requirement in Private bank for BDE," 2,00,000 - 2,50,000 PA. ","[' Business Development', ' Sales', ' Bde', ' New Business', ' Business Analyst', ' Business Development Manager', ' Business Development Executive', ' Senior Business Analyst', ' Sales Manager', ' Banker', ' Private Banker', ' Sales Officer']",['Accounts'],"['Delhi ncr', 'Gurgaon', 'Noida']","['Accounts ', ' Finance ', ' Tax ', ' Company Secretary ', ' Audit']","['Banking', ' Financial Services', ' Broking']",Accounts Executive/Accountant
61, Principal Consultant, Not Disclosed by Recruiter ,"[' Business solutions', ' Project delivery', ' Conceptualization', ' Green field projects', ' Gap analysis', ' PDF', ' Regulatory compliance', ' account mining', ' Delivery Lead', ' Oracle Retail']","['System Design', 'Implementation', 'ERP', 'CRM']",['Hyderabad'],"['IT Software - Application Programming ', ' Maintenance']","['IT-Software', ' Software Services']",Functional Outside Consultant
62, Reconciliation Executive, Not Disclosed by Recruiter ,"[' access controls', ' Technology', ' Asset Management', ' Intellectual Property', ' Vendor Management', ' CRM']",['Voice'],['Mumbai'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(NonTechnical)
63, Website Designer, Not Disclosed by Recruiter ,"[' jQuery', ' Analytical', ' Wordpress', ' Conceptualization', ' Web designing', ' Photoshop', ' Business Executive', ' CSS3', ' Ideas']",['Creative'],['Gurgaon'],"['Design ', ' Creative ', ' User Experience']","['IT-Software', ' Software Services']",Web Designer
64, Business Development Associate, Not Disclosed by Recruiter ,[' Business Development Associate'],['Corporate Sales'],['Bengaluru'],"['Sales ', ' Retail ', ' Business Development']","['Recruitment', ' Staffing']",Sales Executive/Officer
65, Business Development - Experience[- year] (No. Of Vacancy:, Not Disclosed by Recruiter ,"[' International business development', ' Life sciences', ' Microbiology', ' Business Development Representative', ' Biotechnology']",['Retail Sales'],['Pune'],"['Sales ', ' Retail ', ' Business Development']","['IT-Software', ' Software Services']",Sales/Business Development Manager
66, Design Engineer," 1,25,000 - 2,00,000 PA. ","[' cad', ' catia', ' creo', ' design engineering', ' mechanical design', ' mechanical engineer', ' ansys', ' fea', ' cae', ' finite element analysis', ' aeronautical engineering', ' aerospace engineering', ' stress analysis', ' solid works', ' AutoCAD']",['Engineering Design'],['Bengaluru (9th block jayanagar) '],"['Engineering Design ', ' R&D']","['Oil and Gas', ' Energy', ' Power', ' Infrastructure']",Design Engineer
67," Chat Process, Chat Support Executive, Online Chat Representative"," 2,00,000 - 2,50,000 PA. ","[' chat process', ' Non Voice', ' Non Voice Process', ' BPO Fresher', ' Fresher', ' International BPO']",['Voice'],['Delhi ncr'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
